,LINE,STATION,ALT.,GRAV (mgal),SD,TILTX,TILTY,TEMP,TIDE,DUR,REJ,TIME,DEC.TIME+DATE,TERRAIN,DATE
0,REPETABILITY,0,"28,1248","4508,6390000000001","0,0099999999999999999998","-5,6","-5,9","-0,65","-0,050999999999999997",60,6,"0,32652777777777781","45507,326009999997",0,04/09/24
1,REPETABILITY,0,"28,1248","4508,6379999999999","0,010999999999999999","-5,8","-5,8","-0,65","-0,050999999999999997",60,19,"0,32728009259259255","45507,326760000004",0,04/09/24
2,REPETABILITY,30,"26,66","4504,3900000000003","0,0089999999999999993","2,5","-2,8","-0,47999999999999999999","-0,041000000000000002",60,0,"0,34284722222222225","45507,342299999997",0,04/09/24
3,REPETABILITY,30,"26,9041","4504,3909999999996","0,0089999999999999993","3,3","-2,9","-0,49","-0,04",60,26,"0,34359953703703705","45507,343050000003",0,04/09/24
4,REPETABILITY,30,"26,9041","4504,3890000000001","0,025000000000000001","3,3","-2,8","-0,51","-0,04",60,14,"0,34435185185185185","45507,343800000002",0,04/09/24
5,REPETABILITY,0,"25,1951","4508,6469999999999","0,014","1,7","-6,4","-0,5","-0,034000000000000002",60,16,"0,35297453703703702","45507,352409999999999",0,04/09/24
6,REPETABILITY,0,"25,439299999999999","4508,6469999999999","0,0089999999999999993","0,9","-7,7","-0,5","-0,034000000000000002",60,0,"0,35378472222222218","45507,353219999997",0,04/09/24
7,REPETABILITY,0,"25,439299999999999","4508,6469999999999","0,012",0,"-8,6999999999999993","-0,51","-0,033000000000000002",60,5,"0,35453703703703704","45507,353969999996",0,04/09/24
8,REPETABILITY,0,"26,171700000000001","4508,6450000000004","0,012","3,1","0,7","-0,62","-0,025000000000000001",60,9,"0,36644675925925929","45507,365859999998",0,04/09/24
9,REPETABILITY,0,"26,415800000000001","4508,6440000000002","0,0080000000000000002","3,1","0,7","-0,62","-0,024",60,0,"0,36725694444444446","45507,366670000003",0,04/09/24
10,REPETABILITY,0,"26,415800000000001","4508,6440000000002","0,010999999999999999","2,9","0,7","-0,62","-0,024",60,1,"0,36800925925925926","45507,367420000002",0,04/09/24
11,REPETABILITY,30,"25,927499999999998","4504,393","0,0089999999999999993","5,0999999999999996","-4,7","-0,56000000000000005","-0,017000000000000001",60,1,"0,37729166666666664","45507,376689999997",0,04/09/24
12,REPETABILITY,30,"26,171700000000001","4504,393","0,0080000000000000002","5,2",-5,"-0,56000000000000005","-0,017000000000000001",60,0,"0,37804398148148149","45507,377439999997",0,04/09/24
13,REPETABILITY,30,"26,171700000000001","4504,3919999999998","0,0080000000000000002","5,2","-5,0999999999999996","-0,56000000000000005","-0,016",60,0,"0,3787962962962963","45507,378190000003",0,04/09/24
14,REPETABILITY,0,"25,927499999999998","4508,6450000000004","0,0099999999999999999998","-0,3",1,"-0,49","-0,002",60,0,"0,39928240740740745","45507,398639999999",0,04/09/24
15,REPETABILITY,0,"26,171700000000001","4508,6450000000004","0,0089999999999999993","-0,6",1,"-0,51","-0,001",60,0,"0,40003472222222224999","45507,399389999999",0,04/09/24
16,REPETABILITY,0,"26,171700000000001","4508,6450000000004","0,0070000000000000001","-0,9","0,9","-0,52","-0,001",60,0,"0,40078703703703705","45507,400150000001",0,04/09/24
17,REPETABILITY,30,"26,9041","4504,3940000000002","0,0089999999999999993","5,0999999999999996",-3,"-0,52","0,0070000000000000001",60,0,"0,41427083333333337","45507,413610000003",0,04/09/24
18,REPETABILITY,30,"26,66","4504,393","0,010999999999999999","5,4","-3,2","-0,52","0,0080000000000000002",60,0,"0,41502314814814811","45507,414360000002",0,04/09/24
19,REPETABILITY,30,"26,66","4504,3940000000002","0,0099999999999999999998","5,5","-3,4","-0,54000000000000000002","0,0080000000000000002",60,0,"0,41577546296296292","45507,415110000002",0,04/09/24
20,REPETABILITY,0,"25,927499999999998","4508,6540000000005","0,014999999999999999","3,7","-2,5","-0,55000000000000004","0,012",60,17,"0,42231481481481481","45507,42164",0,04/09/24
21,REPETABILITY,0,"25,927499999999998","4508,6540000000005","0,0080000000000000002","4,9000000000000004","-3,3","-0,53","0,012999999999999999",60,0,"0,42312499999999997","45507,422449999998",0,04/09/24
22,REPETABILITY,0,"25,927499999999998","4508,6549999999997","0,0080000000000000002","5,4","-4,7","-0,52","0,012999999999999999",60,0,"0,42387731481481478","45507,423199999997",0,04/09/24
23,REPETABILITY,0,"25,927499999999998","4508,6549999999997","0,0080000000000000002","5,5","-5,4","-0,52","0,012999999999999999",60,0,"0,42462962962962963","45507,423949999997",0,04/09/24
24,REPETABILITY,0,"29,589600000000001","4508,6509999999998","0,0060000000000000001","-7,2","-1,5","-0,66","0,036999999999999998",60,0,"0,48277777777777775001","45507,48201",0,04/09/24
25,REPETABILITY,0,"29,8338","4508,6509999999998","0,0080000000000000002","-7,3","-1,5","-0,66","0,036999999999999998",60,0,"0,48353009259259255","45507,482759999999",0,04/09/24
26,REPETABILITY,0,"29,8338","4508,6509999999998","0,0070000000000000001","-7,4","-1,5","-0,66","0,036999999999999998",60,11,"0,48428240740740741","45507,483509999998",0,04/09/24
27,REPETABILITY,0,"29,8338","4508,6499999999996","0,0089999999999999993","-7,4","-1,6","-0,66","0,036999999999999998",60,0,"0,48503472222222220999","45507,484259999997",0,04/09/24
28,REPETABILITY,30,"29,8338","4504,3969999999999","0,0099999999999999999998","-1,4","-0,3","-0,62","0,037999999999999999",60,3,"0,51218750000000002","45507,51137",0,04/09/24
29,REPETABILITY,30,"29,8338","4504,3980000000001","0,0070000000000000001","-1,5","-0,2","-0,62","0,037999999999999999",60,0,"0,51299768518518518","45507,512179999998",0,04/09/24
30,REPETABILITY,30,"29,8338","4504,3969999999999","0,0089999999999999993","-1,6","-0,1","-0,63","0,037999999999999999",60,0,"0,51375000000000004","45507,512929999997",0,04/09/24
31,REPETABILITY,0,"28,613099999999999","4508,6639999999998","0,0089999999999999993","-0,2","1,1000000000000001","-0,56000000000000005","0,034000000000000002",60,0,"0,53311342592592592","45507,53226",0,04/09/24
32,REPETABILITY,0,"28,857199999999999","4508,6639999999998","0,0070000000000000001",0,1,"-0,57999999999999996","0,034000000000000002",60,0,"0,53386574074074067","45507,533009999998999",0,04/09/24
33,REPETABILITY,0,"28,613099999999999","4508,6639999999998","0,06","0,2","1,1000000000000001","-0,57999999999999996","0,034000000000000002",60,38,"0,53461805555555553","45507,533759999998",0,04/09/24
34,REPETABILITY,0,"28,857199999999999","4508,6629999999996","0,016","0,3","0,9","-0,59","0,034000000000000002",60,10,"0,53537037037037039","45507,534509999998",0,04/09/24
35,REPETABILITY,0,"28,857199999999999","4508,665","0,0099999999999999999998","0,5","0,7","-0,6","0,034000000000000002",60,0,"0,53612268518518513","45507,535259999997",0,04/09/24
36,REPETABILITY,30,"27,636500000000002","4504,4080000000004","0,0080000000000000002","-2,2999999999999998","0,2","-0,5","0,025000000000000001",60,0,"0,55814814814814817","45507,557260000001",0,04/09/24
37,REPETABILITY,30,"27,636500000000002","4504,4070000000002","0,0070000000000000001","-2,9","0,2","-0,51","0,025000000000000001",60,0,"0,55890046296296292","45507,558010000001",0,04/09/24
38,REPETABILITY,30,"27,880700000000001","4504,4080000000004","0,0099999999999999999998","-3,4","0,1","-0,53","0,025000000000000001",60,0,"0,55965277777777778","45507,55876",0,04/09/24
39,REPETABILITY,0,"27,636500000000002","4508,6719999999996","0,0070000000000000001",2,"-2,9","-0,51","0,02",60,0,"0,57041666666666668","45507,569499999998",0,04/09/24
40,REPETABILITY,0,"27,636500000000002","4508,6719999999996","0,0080000000000000002","1,1000000000000001","-3,1","-0,51","0,019",60,2,"0,57116898148148143","45507,57026",0,04/09/24
41,REPETABILITY,0,"27,880700000000001","4508,6719999999996","0,0080000000000000002","0,3","-3,3","-0,51","0,017999999999999999",60,1,"0,57192129629629629","45507,57101",0,04/09/24
